"Consumer price index (2015=100) by commodity group, time and unit"

" "," ","Index","Percentage change compared to previous month (per cent)","Percentage change compared to same month the year before (per cent)"
"02.1.1.1 Spirits and liqueurs"
" ","2014M01",98.1,0.1,2.1
" ","2014M02",98.6,0.5,1.1
" ","2014M03",98.1,-0.5,-0.1
" ","2014M04",98.6,0.5,0.9
" ","2014M05",97.3,-1.3,-0.1
" ","2014M06",99.3,2.1,2.2
" ","2014M07",99.2,-0.1,0.9
" ","2014M08",99.2,0.0,0.7
" ","2014M09",97.7,-1.5,0.1
" ","2014M10",99.3,1.6,1.5
" ","2014M11",98.7,-0.6,0.7
" ","2014M12",99.4,0.7,1.4
" ","2015M01",99.7,0.3,1.6
" ","2015M02",99.1,-0.6,0.5
" ","2015M03",100.3,1.2,2.2
" ","2015M04",100.3,0.0,1.7
" ","2015M05",99.2,-1.1,2.0
" ","2015M06",100.2,1.0,0.9
" ","2015M07",100.0,-0.2,0.8
" ","2015M08",100.2,0.2,1.0
" ","2015M09",99.9,-0.3,2.3
" ","2015M10",100.1,0.2,0.8
" ","2015M11",100.8,0.7,2.1
